RECEITAS,UF,VALOR,DATA
TOTAL GERAL,AC,99741890,2015-01-31
TOTAL GERAL,AL,305040988,2015-01-31
TOTAL GERAL,AM,1161982213,2015-01-31
TOTAL GERAL,AP,83805838,2015-01-31
TOTAL GERAL,BA,2202374665,2015-01-31
TOTAL GERAL,CE,1643850177,2015-01-31
TOTAL GERAL,DF,10028875905,2015-01-31
TOTAL GERAL,ES,1930858242,2015-01-31
TOTAL GERAL,GO,1352919682,2015-01-31
TOTAL GERAL,MA,666574691,2015-01-31
TOTAL GERAL,MG,8155209648,2015-01-31
TOTAL GERAL,MS,688256829,2015-01-31
TOTAL GERAL,MT,767994073,2015-01-31
TOTAL GERAL,PA,828704473,2015-01-31
TOTAL GERAL,PB,522481510,2015-01-31
TOTAL GERAL,PE,2260495624,2015-01-31
TOTAL GERAL,PI,307110014,2015-01-31
TOTAL GERAL,PR,6001693921,2015-01-31
TOTAL GERAL,RJ,22151018412,2015-01-31
TOTAL GERAL,RN,506786202,2015-01-31
TOTAL GERAL,RO,244490856,2015-01-31
TOTAL GERAL,RR,82128879,2015-01-31
TOTAL GERAL,RS,6439526653,2015-01-31
TOTAL GERAL,SC,4640446671,2015-01-31
TOTAL GERAL,SE,339694290,2015-01-31
TOTAL GERAL,SP,51708376499,2015-01-31
TOTAL GERAL,TO,161428085,2015-01-31
TOTAL GERAL,AC,81210459,2015-02-28
TOTAL GERAL,AL,260538449,2015-02-28
TOTAL GERAL,AM,1019049954,2015-02-28
TOTAL GERAL,AP,79063778,2015-02-28
TOTAL GERAL,BA,1769498430,2015-02-28
TOTAL GERAL,CE,1220170990,2015-02-28
TOTAL GERAL,DF,12666024833,2015-02-28
TOTAL GERAL,ES,1429595558,2015-02-28
TOTAL GERAL,GO,1032029303,2015-02-28
TOTAL GERAL,MA,580380838,2015-02-28
TOTAL GERAL,MG,5269891809,2015-02-28
TOTAL GERAL,MS,454178700,2015-02-28
TOTAL GERAL,MT,564424117,2015-02-28
TOTAL GERAL,PA,681170057,2015-02-28
TOTAL GERAL,PB,439171405,2015-02-28
TOTAL GERAL,PE,1698616398,2015-02-28
TOTAL GERAL,PI,234127156,2015-02-28
TOTAL GERAL,PR,4162461255,2015-02-28
TOTAL GERAL,RJ,13150220077,2015-02-28
TOTAL GERAL,RN,381435094,2015-02-28
TOTAL GERAL,RO,189651851,2015-02-28
TOTAL GERAL,RR,65145801,2015-02-28
TOTAL GERAL,RS,4226717395,2015-02-28
TOTAL GERAL,SC,3381807819,2015-02-28
TOTAL GERAL,SE,298071490,2015-02-28
TOTAL GERAL,SP,34531069971,2015-02-28
TOTAL GERAL,TO,115903137,2015-02-28
TOTAL GERAL,AC,85845011,2015-03-31
TOTAL GERAL,AL,277411830,2015-03-31
TOTAL GERAL,AM,1101625280,2015-03-31
TOTAL GERAL,AP,66361612,2015-03-31
TOTAL GERAL,BA,1885133228,2015-03-31
TOTAL GERAL,CE,1295480463,2015-03-31
TOTAL GERAL,DF,7729161057,2015-03-31
TOTAL GERAL,ES,1489471438,2015-03-31
TOTAL GERAL,GO,1060709352,2015-03-31
TOTAL GERAL,MA,621426075,2015-03-31
TOTAL GERAL,MG,5091714244,2015-03-31
TOTAL GERAL,MS,453762208,2015-03-31
TOTAL GERAL,MT,606052248,2015-03-31
TOTAL GERAL,PA,808326077,2015-03-31
TOTAL GERAL,PB,445840456,2015-03-31
TOTAL GERAL,PE,1749270396,2015-03-31
TOTAL GERAL,PI,270062820,2015-03-31
TOTAL GERAL,PR,4603509039,2015-03-31
TOTAL GERAL,RJ,15553651654,2015-03-31
TOTAL GERAL,RN,391585819,2015-03-31
TOTAL GERAL,RO,227550271,2015-03-31
TOTAL GERAL,RR,66220201,2015-03-31
TOTAL GERAL,RS,4336829997,2015-03-31
TOTAL GERAL,SC,3668147458,2015-03-31
TOTAL GERAL,SE,284656690,2015-03-31
TOTAL GERAL,SP,39806639630,2015-03-31
TOTAL GERAL,TO,135704314,2015-03-31
TOTAL GERAL,AC,91953471,2015-04-30
TOTAL GERAL,AL,351222568,2015-04-30
TOTAL GERAL,AM,1250553623,2015-04-30
TOTAL GERAL,AP,72845581,2015-04-30
TOTAL GERAL,BA,2264993430,2015-04-30
TOTAL GERAL,CE,1622964958,2015-04-30
TOTAL GERAL,DF,8464233553,2015-04-30
TOTAL GERAL,ES,1797686041,2015-04-30
TOTAL GERAL,GO,1332835341,2015-04-30
TOTAL GERAL,MA,609274685,2015-04-30
TOTAL GERAL,MG,6281529264,2015-04-30
TOTAL GERAL,MS,627000626,2015-04-30
TOTAL GERAL,MT,766885006,2015-04-30
TOTAL GERAL,PA,839163649,2015-04-30
TOTAL GERAL,PB,559218431,2015-04-30
TOTAL GERAL,PE,2200477726,2015-04-30
TOTAL GERAL,PI,330011267,2015-04-30
TOTAL GERAL,PR,5602483606,2015-04-30
TOTAL GERAL,RJ,20083388718,2015-04-30
TOTAL GERAL,RN,487424161,2015-04-30
TOTAL GERAL,RO,247237197,2015-04-30
TOTAL GERAL,RR,79447869,2015-04-30
TOTAL GERAL,RS,5806079025,2015-04-30
TOTAL GERAL,SC,4131921519,2015-04-30
TOTAL GERAL,SE,373532424,2015-04-30
TOTAL GERAL,SP,42802146022,2015-04-30
TOTAL GERAL,TO,164667701,2015-04-30
TOTAL GERAL,AC,92224264,2015-05-31
TOTAL GERAL,AL,282221206,2015-05-31
TOTAL GERAL,AM,1077877853,2015-05-31
TOTAL GERAL,AP,65245912,2015-05-31
TOTAL GERAL,BA,1910305549,2015-05-31
TOTAL GERAL,CE,1443210458,2015-05-31
TOTAL GERAL,DF,8012074580,2015-05-31
TOTAL GERAL,ES,1490642608,2015-05-31
TOTAL GERAL,GO,1053510134,2015-05-31
TOTAL GERAL,MA,547352014,2015-05-31
TOTAL GERAL,MG,5243503209,2015-05-31
TOTAL GERAL,MS,513460280,2015-05-31
TOTAL GERAL,MT,670438406,2015-05-31
TOTAL GERAL,PA,734932671,2015-05-31
TOTAL GERAL,PB,453662288,2015-05-31
TOTAL GERAL,PE,1658291922,2015-05-31
TOTAL GERAL,PI,261939824,2015-05-31
TOTAL GERAL,PR,4798372648,2015-05-31
TOTAL GERAL,RJ,14959098078,2015-05-31
TOTAL GERAL,RN,398451431,2015-05-31
TOTAL GERAL,RO,217397419,2015-05-31
TOTAL GERAL,RR,70348896,2015-05-31
TOTAL GERAL,RS,4655943003,2015-05-31
TOTAL GERAL,SC,3417909676,2015-05-31
TOTAL GERAL,SE,318768833,2015-05-31
TOTAL GERAL,SP,37018150562,2015-05-31
TOTAL GERAL,TO,134892191,2015-05-31
TOTAL GERAL,AC,86591238.80102892,2015-06-30
TOTAL GERAL,AL,273129112.4046891,2015-06-30
