RECEITAS,UF,VALOR,DATA
IMPOSTO SOBRE IMPORTAÇÃO,AC,7019,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,AL,225594,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,AM,43219961,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,AP,39747,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,BA,69816435,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,CE,49520515,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,DF,2846049,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,ES,204208946,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,GO,24708692,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,MA,5090584,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,MG,83056550,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,MS,330010,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,MT,1931339,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,PA,3640327,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,PB,14046775,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,PE,88106093,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,PI,39934,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,PR,271163400,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,RJ,266443762,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,RN,870629,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,RO,9412,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,RR,32831,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,RS,133771280,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,SC,522303211,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,SE,231797,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,SP,1546674375,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,TO,1984,2015-01-31
IMPOSTO SOBRE IMPORTAÇÃO,TOTAL,3332337252,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,AC,0,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,AL,1197,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,AM,-21,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,AP,201,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,BA,75,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,CE,15097,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,DF,-49,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,ES,-224,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,GO,19725,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,MA,-7,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,MG,-1029,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,MS,151,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,MT,22,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,PA,954006,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,PB,-682,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,PE,16226,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,PI,-84,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,PR,1112032,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,RJ,35961,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,RN,76,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,RO,-17,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,RR,-2,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,RS,111990,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,SC,980706,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,SE,-1,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,SP,979128,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,TO, -    ,2015-01-31
IMPOSTO SOBRE EXPORTAÇÃO,TOTAL,4224473,2015-01-31
IPI - TOTAL,AC,51789,2015-01-31
IPI - TOTAL,AL,2126292,2015-01-31
IPI - TOTAL,AM,24814591,2015-01-31
IPI - TOTAL,AP,1163357,2015-01-31
IPI - TOTAL,BA,118765106,2015-01-31
IPI - TOTAL,CE,41893071,2015-01-31
IPI - TOTAL,DF,7190247,2015-01-31
IPI - TOTAL,ES,213193046,2015-01-31
IPI - TOTAL,GO,30340283,2015-01-31
IPI - TOTAL,MA,9623073,2015-01-31
IPI - TOTAL,MG,1090171370,2015-01-31
IPI - TOTAL,MS,8679294,2015-01-31
IPI - TOTAL,MT,18179100,2015-01-31
IPI - TOTAL,PA,7821601,2015-01-31
IPI - TOTAL,PB,5773615,2015-01-31
IPI - TOTAL,PE,125308342,2015-01-31
IPI - TOTAL,PI,3939079,2015-01-31
IPI - TOTAL,PR,320025125,2015-01-31
IPI - TOTAL,RJ,316996735,2015-01-31
IPI - TOTAL,RN,3391574,2015-01-31
IPI - TOTAL,RO,2204721,2015-01-31
IPI - TOTAL,RR,26860,2015-01-31
IPI - TOTAL,RS,893603584,2015-01-31
IPI - TOTAL,SC,389919927,2015-01-31
IPI - TOTAL,SE,9764152,2015-01-31
IPI - TOTAL,SP,1774349033,2015-01-31
IPI - TOTAL,TO,1612748,2015-01-31
IPI - TOTAL,TOTAL,5420927715,2015-01-31
  IPI - FUMO,AC, -    ,2015-01-31
  IPI - FUMO,AL, -    ,2015-01-31
  IPI - FUMO,AM, -    ,2015-01-31
  IPI - FUMO,AP, -    ,2015-01-31
  IPI - FUMO,BA,310730,2015-01-31
  IPI - FUMO,CE, -    ,2015-01-31
