DATA;IGP-M;IPCA;INPC;SELIC
01/2015;0,76;1,24;1,48;0,94
02/2015;0,27;1,22;1,16;0,82
03/2015;0,98;1,32;1,51;1,04
04/2015;1,17;0,71;0,71;0,95
05/2015;0,41;0,74;0,99;0,99
06/2015;0,67;0,79;0,77;1,07
07/2015;0,69;0,62;0,58;1,18
08/2015;0,28;0,22;0,25;1,11
09/2015;0,95;0,54;0,51;1,11
10/2015;1,89;0,82;0,77;1,11
11/2015;1,52;1,01;1,11;1,06
12/2015;0,49;0,96;0,9;1,16
01/2016;1,14;1,27;1,51;1,06
02/2016;1,29;0,9;0,95;1
03/2016;0,51;0,43;0,44;1,16
04/2016;0,33;0,61;0,64;1,06
05/2016;0,82;0,78;0,98;1,11
06/2016;1,69;0,35;0,47;1,16
07/2016;0,18;0,52;0,64;1,11
08/2016;0,15;0,44;0,31;1,22
09/2016;0,20;0,08;0,08;1,11
10/2016;0,16;0,26;0,17;1,05
11/2016;-0,03;0,18;0,07;1,04
12/2016;0,54;0,3;0,14;1,12
01/2017;0,64;0,38;0,42;1,09
02/2017;0,08;0,33;0,24;0,87
03/2017;0,01;0,25;0,32;1,05
04/2017;-1,10;0,14;0,08;0,79
05/2017;-0,93;0,31;0,36;0,93
06/2017;-0,67;-0,23;-0,3;0,81
07/2017;-0,72;0,24;0,17;0,8
08/2017;0,10;0,19;-0,03;0,8
09/2017;0,47;0,16;-0,02;0,64
10/2017;0,20;0,42;0,37;0,64
11/2017;0,52;0,28;0,18;0,57
12/2017;0,89;0,44;0,26;0,54
01/2018;0,76;0,29;0,23;0,58
02/2018;0,07;0,32;0,18;0,47
03/2018;0,64;0,09;0,07;0,53
04/2018;0,57;0,22;0,21;0,52
05/2018;1,38;0,4;0,43;0,52
06/2018;1,87;1,26;1,43;0,52
07/2018;0,51;0,33;0,25;0,54
08/2018;0,70;-0,09;0;0,57
09/2018;1,52;0,48;0,3;0,47
10/2018;0,89;0,45;0,4;0,54
11/2018;-0,49;-0,21;-0,25;0,49
12/2018;-1,08;0,15;0,14;0,49
01/2019;0,01;0,32;0,36;0,54
02/2019;0,88;0,43;0,54;0,49
03/2019;1,26;0,75;0,77;0,47
04/2019;0,92;0,57;0,6;0,52
05/2019;0,45;0,13;0,15;0,54
06/2019;0,80;0,01;0,01;0,47
07/2019;0,40;0,19;0,10;0,57
08/2019;-0,67;0,11;0,12;0,5
09/2019;-0,01;-0,04;-0,05;0,46
10/2019;0,68;0,10;0,04;0,48
11/2019;0,30;0,51;0,54;0,38
12/2019;2,09;1,15;1,22;0,37
01/2020;0,48;0,21;0,19;0,38
02/2020;-0,04;0,25;0,17;0,29
03/2020;1,24;0,07;0,18;0,34
04/2020;0,80;-0,31;-0,23;0,28
05/2020;0,28;-0,38;-0,25;0,24
06/2020;1,56;0,26;0,3;0,21
